Registry,Assignment,Organization Name,Organization Address
OpID,000077,MultiLink S.A.,"Angle Delmas, Delmia 18, Building PaP  HT  "
OpID,00000E,Wi-Tribe Limited,P O Box 3614 Amman  JO 11953 
OpID,00000B,Solectek Corporation,6370 Nancy Ridge Drive San Diego CA US 92121-3212 
OpID,000008,Moline Dispatch Publishing Company,1720 - 5th Avenue Moline IL US 61265 
OpID,00000A,UK Broadband,"1, Furzeground Way Uxbridge  GB UB11 1 BD "
OpID,000004,Clearwire Corporation,1475 120th Ave NE Bellevue WA US 98005 
OpID,000018,WorldMax Operations B.V.,P. O. Box 71394 BH Amsterdam  NL 1008 
OpID,000014,UQ Communications Inc.,"2-16-1, Konan, Minato-ku, Tokyo  JP 108-0075 "
OpID,000015,SCARTEL Ltd. ,"st. Rusakovskaya, 13 Moskow  RU 107140 "
OpID,000016,Monzoon Networks AG,Spinnerei-Lettenstrasse Zweidlen  CH 8192 
OpID,000017,WorldMax Operations B.V.,P. O. Box 71394 BH Amsterdam  NL 1008 
OpID,00000C,WiMax Telecom AG,Seestrasse 127 Kusnacht  CH  
OpID,00000D,Wi-Tribe Limited,P O Box 3614 Amman  JO 11953 
OpID,000105,Global Broadband Solution SPRL,"Avenue de la Science, 4630 Kinshasa  CD 4630 "
OpID,000101,Multinet Mozambique,"Av. Filipe Samuel Magia, No528-2 Andar Maputo  MZ 4114-Maputo "
OpID,0000AB,Simplexity,10790 Parkridge Road Reston VA US 20195 
OpID,0000AE,Karma Mobility,36 Cooper Square New York NY US 10003 
OpID,0000A6,Nu Informationssysteme Gmbh,Bahnhofstraße 4 Riesa  DE 01587 
OpID,0000A0,XSTREAM SRL,Via Casorati 5 Reggio Emilia (RE)  IT  
OpID,00009F,Malawi Telecommunications Limited,P.O. Box 537  Biantyre Malawi US  
OpID,0000A2,Bryan Independent School District,800 S. Texas Ave Bryan TX US 77803 
OpID,0000A3,COTE D IVOIRE TELECOM,Immeuble Postel 2001  Abidjan   CI 17 
OpID,000093,BVCNET,"7607 Eastmark Drive, Suite 230 College Station TX US 77840 "
OpID,000097,Intercellular Nigeria PLC,5th Floor UBA House Lagos  NG  
OpID,000100,Manitoba NetSet Ltd. ,942 Douglas Street  Brandon  CA  
OpID,000087,Best Buy Connect,7601 Penn Avenue South Richfield MN US 55423 
OpID,000080,OLO DEL PERU S.A.C,Av. Victor Andres Belaunde 147 - Via San Isidro Lima PE  
OpID,000084,Viti SAS,BP 20651 Papeete Tahiti PF 98713 
OpID,000079,"PT First Media, TBK","Citra Graha Building, 7th Fl  Jakarta ID KAV 35-36 "
OpID,000090,Horizon Broadcasting & Telecommunications Limited,"African Alliance House, F1 Sani Abacha Way  Kano State NG  "
OpID,000066,"Open Wireless Platform, LLC","4489 Endo, Fujisawa Kanagawa  JP  "
OpID,000072,"GSM Kazakhstan OJSC ""Kazakhtelecom"" LLP","2G, Timiryazev str. Almaty City Republic of KZ  "
OpID,000069,"Choice Communications, LLC","400 Northridge Road, Suite 325 Atlanta GA  US 30350 "
OpID,000075,"QMAX Communications Pte, Ltd. ",31 International Business Park   SG 609921 
OpID,000009,Pine Telephone Company Inc.,P O Box 548 Broken Bow OK US 74728 
